"","RealTitle","SearchTitle","imdbLink","YoutubeLink","RTscore","Paff","yr","le","ca","ra","de","pi","aw","po"
"68","brazil","Brazil","http://www.imdb.com/title/tt0088846/",NA,NA,"brazil",1985,"
                        2h 12min
                    ","Drama",8,"
                    A bureaucrat in a retro-future world tries to correct an administrative error and himself becomes an enemy of the state.
            ","http://ia.media-imdb.com/images/M/MV5BMTIwMDQ1NzQyOF5BMl5BanBnXkFtZTcwMTE4MDQzMQ@@._V1._CR3,43,349,456_UY268_CR11,0,182,268_AL_.jpg","
      
        Nominated for
        2
        Oscars.
      
    ",150413
"69","breaking the waves","Breaking the Waves","http://www.imdb.com/title/tt0115751/","http://www.youtube.com/watch?v=SHqZh-9AiCs","Breaking the Waves (1996) - Rotten Tomatoes 86%","breaking the waves",1996,"
                        2h 39min
                    ","Drama",7.9,"
                    Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.
            ","http://ia.media-imdb.com/images/M/MV5BNDYwZTU2MzktNWYxMS00NTYzLTgzOWEtMTRiYjc5NGY2Nzg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","
      
        Nominated for
        1
        Oscar.
      
    ",48165
"70","bridesmaids","Bridesmaids","http://www.imdb.com/title/tt1478338/",NA,NA,"bridesmaids",2011,"
                        2h 5min
                    ","Comedy",6.8,"
                    Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.
            ","http://ia.media-imdb.com/images/M/MV5BMjAyOTMyMzUxNl5BMl5BanBnXkFtZTcwODI4MzE0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      
        Nominated for
        2
        Oscars.
      
    ",214741
"71","bruce almighty","Bruce Almighty","http://www.imdb.com/title/tt0315327/","http://www.youtube.com/watch?v=QAK5sJ77J78","Bruce Almighty (2003) - Rotten Tomatoes 48%","bruce almighty",2003,"
                        1h 41min
                    ","Comedy",6.7,"
                    A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.
            ","http://ia.media-imdb.com/images/M/MV5BMTYwMTUyNzAxMF5BMl5BanBnXkFtZTYwMDYwOTY3._V1_UX182_CR0,0,182,268_AL_.jpg","
      7 wins & 8 nominations.
    ",292878
"72","bruce lee - enter the dragon","IMDb: Enter the Dragon","http://www.imdb.com/title/tt0070034/","http://www.youtube.com/watch?v=tB-QGOChuQc",NA,"bruce lee - enter the dragon",1973,"
                        1h 42min
                    ","Action",7.7,"
                    A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
            ","http://ia.media-imdb.com/images/M/MV5BMTI0Mjg5MjgwNV5BMl5BanBnXkFtZTYwNjE1NjU5._V1_UY268_CR6,0,182,268_AL_.jpg","
      1 win.
    ",76766
"73","bruce lee - fist of fury","The Chinese Connection","http://www.imdb.com/title/tt0068767/",NA,NA,"bruce lee - fist of fury",1972,"
                        1h 42min
                    ","Action",7.4,"
                    A young man seeks vengence for the death of his teacher.
            ","http://ia.media-imdb.com/images/M/MV5BMTU5Njk4MTcwOF5BMl5BanBnXkFtZTYwNDc5NjY5._V1_UY268_CR2,0,182,268_AL_.jpg","
      2 wins & 1 nomination.
    ",18275
"74","bruce lee - fist of the dragon","Bruce Lee and I","http://www.imdb.com/title/tt0069445/",NA,NA,"bruce lee - fist of the dragon",1973,"
                        1h 33min
                    ","Action",7,"
                    Unicorn travels to a village troubled by gangsters in search of revenge for the murder of his parents years before. The task is made more complicated when he befriends a middle-aged woman and her son who begin to admire and depend on him.
            ","http://ia.media-imdb.com/images/M/MV5BMTY5MDkzMzI3MF5BMl5BanBnXkFtZTcwMjU4OTQ1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      2 wins & 12 nominations.
    ",409
"75","bruce lee - game of death","Game of Death","http://www.imdb.com/title/tt0077594/",NA,"Game of Death (1978) - Rotten Tomatoes 75%","bruce lee - game of death",1978,"
                        1h 25min
                    ","Action",6,"
                    A martial arts movie star must fake his death to find the people who are trying to kill him.
            ","http://ia.media-imdb.com/images/M/MV5BMTkyMjc1MzAwMl5BMl5BanBnXkFtZTYwMDMxMTQ5._V1_UY268_CR2,0,182,268_AL_.jpg","
      2 wins & 12 nominations.
    ",12147
"76","bruce lee - the big boss","The Big Boss","http://www.imdb.com/title/tt0067824/",NA,NA,"bruce lee - the big boss",1971,"
                        1h 40min
                    ","Action",7.1,"
                    A young man sworn to an oath of non-violence works with his cousins in an ice factory where they mysteriously begin to disappear.
            ","http://ia.media-imdb.com/images/M/MV5BNDk2MjM0NTI1MF5BMl5BanBnXkFtZTgwMzgzNjc0ODE@._V1_UX182_CR0,0,182,268_AL_.jpg","
      2 wins & 12 nominations.
    ",18416
"77","bruce lee - the man the myth","Bruce Lee: The Man, the Myth","http://www.imdb.com/title/tt0077850/",NA,NA,"bruce lee - the man the myth",1976,"
                        1h 30min
                    ","Biography",5.5,"
                    A highly fictionalized biography of the famous Bruce Lee, this movie traces his college life, his marriage to Linda Lee, his relationship with his master, and his untimely death.
            ","http://ia.media-imdb.com/images/M/MV5BOTc4MTU1MTAwOV5BMl5BanBnXkFtZTcwNjg2MjkxMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg","
      2 wins & 12 nominations.
    ",295
"78","bruce lee - the way of the dragon","The Way of the Dragon","http://www.imdb.com/title/tt0068935/","http://www.youtube.com/watch?v=4lNDLaSWmhY",NA,"bruce lee - the way of the dragon",1972,"
                        1h 40min
                    ","Action",7.3,"
                    A man visits his relatives at their restaurant in Italy and has to help them defend against brutal gangsters harassing them.
            ","http://ia.media-imdb.com/images/M/MV5BNGJlMTU5ZTYtZGNlOC00OGY5LTg0ODEtMWFkMTgyODc4OWZmXkEyXkFqcGdeQXVyNDIyMjczNjI@._V1_UX182_CR0,0,182,268_AL_.jpg","
      1 win.
    ",22734
"79","butch cassidy et le kid","Butch Cassidy and the Sundance Kid","http://www.imdb.com/title/tt0064115/",NA,NA,"butch cassidy et le kid",1969,"
                        1h 50min
                    ","Biography",8.1,"
                    Two Western bank/train robbers flee to Bolivia when the law gets too close.
            ","http://ia.media-imdb.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_UX182_CR0,0,182,268_AL_.jpg","
      2 wins & 12 nominations.
    ",149540
"80","butterfly effect","The Butterfly Effect","http://www.imdb.com/title/tt0289879/","http://www.youtube.com/watch?v=B8_dgqfPXFg",NA,"butterfly effect",2004,"
                        1h 53min
                    ","Sci-Fi",7.7,"
                    Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.
            ","http://ia.media-imdb.com/images/M/MV5BMTI1ODkxNzg2N15BMl5BanBnXkFtZTYwMzQ2MTg2._V1_UX182_CR0,0,182,268_AL_.jpg","
      1 win & 8 nominations.
    ",351851
